JobName,WorkPlace,WorkKind,JobID,JobDescribe,JobRequire
[AR显示技术工程师-PICO],上海,研发 - 硬件,A240414,"1、负责AR显示屏幕的评估、测试与研发；
2、探索AR显示技术例如microLED屏幕、LCOS等关键屏幕技术；
3、模拟仿真屏幕结构，探索新工艺制程，提升屏幕性能；
4、对接供应商资源，与供应商合作进行技术开发。","1、光学、物理学、半导体微电子或者光电子方向等相关方向，硕士及以上学历；
2、有microLED屏幕芯片、半导体激光器或者微纳有源器件的研发经历；
3、有较强的光学基础知识和显示技术基础知识，有一定的模拟仿真能力和经验；
4、学习能力强，对消费电子、XR行业有热情。"
[Global Selling-商家运营经理（汽摩工具）],珠海,运营,A147186,"1、结合平台策略，定向精准引入汽摩配、工具等行业大卖，协助卖家了解平台电商模式和运营；
2、针对重点商家引导扶持，培训商家操作平台店铺，引导商家上新品，并通过货架场和内容场打造爆款；
3、基于内容（短视频、直播）生产的规律，帮助商家借助生态力量或建设自有能力，获取并逐步扩大曝光及流量机会；
4、为卖家运营提供货品及营销方面的建议，包括品类和产品选择、定价策略、营销方式等，促进商家增长；
5、与商家的决策人一同从经营现状的诊断出发，制定中长期增长计划，争取落地资源，引导商家结构性提升；
6、关注商家履约售后及好评率等消费者体验指标，促进商家服务质量的提升。","1、本科及以上学历，有3年以上工作经验，有跨境电商、内容电商、社交电商相关经验优先；
2、对汽摩配、工具行业有一定理解，具有结合行业经验取得业务突破的成功案例；
3、数据分析能力强，在行业动向、商家表现、项目执行等方面以数据分析指导运营；
4、结果导向，较强的自我驱动和责任心，具有良好的团队合作精神及优秀的组织协调沟通能力；
5、了解零售品牌的建设及发展规律，有较强的市场挖掘、营销创新能力，能把握和引导商户的营销策略方向；
6、适应跨文化的沟通工作环境，有良好英语口语能力者优先。"
[Global Selling-行业内容运营（工具建材）],深圳,运营,A145351,"1、从行业视角培育短视频/直播机构，产出更多带货内容，提升爆品数以提升GMV；
2、通过机构/达人的运营，提升行业带货达人数，投稿数，达人销售，达人用户体验等；
3、培育行业垂直的直播机构，增加开播账号，场次时长，GPM等；
4、协同行业买手和内容运营团队，制定策略，整合资源，有效协作拿到结果。","1、2年以上内容运营经验，有成功案例加分；
2、有抖音或其他短视频/直播机构培育经验，有达人建联/撮合经验，并因此获得品类高增长；
3、很强的跨部门协同能力，商务拓展能力和数据分析能力；
4、英语流利，可作为工作语言；
5、有家装、工具、汽摩配、建材行业经验加分。"
[推荐算法工程师-抖音长期生态],北京,研发 - 算法,A119062,"团队介绍：抖音长期生态团队，负责设计、优化抖音的内容分发和作者成长机制，保障抖音多业务的健康可持续发展。我们的工作涉及大规模推荐算法的优化、复杂约束的优化问题的解决、对多种场景的推荐架构的设计和实现和对产品数据的复杂深入的分析工作。在这里，你可以深入钻研机器学习算法的改进和优化，探索前沿的技术；可以通过对产品的深度理解和思考，将算法应用到业务中去；也可以通过对产品和内容生态的深度分析，影响产品未来的发展方向。

1、负责抖音多题材内容的业务算法工作，共同搭建业界领先的推荐系统；
2、深入理解业务和机器学习技术，优化模型&策略，持续提升推荐效果；
3、深入理解用户行为，结合数据挖掘等技术，优化用户创作和浏览等体验。","1、具备优秀的编码能力，扎实的数据结构和算法功底；
2、业务思维强，具备优秀的发现问题、分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
3、对技术有热情，有良好的沟通表达能力和团队精神；
4、熟悉机器学习，对推荐系统相关领域有经验者优先；
5、优秀的分析问题和解决问题的能力，有良好的沟通表达能力和团队精神。"
[产品运营经理（商品增长方向）-抖音电商],上海,运营,A218650A,"1、负责商家商品增长方向的产品运营，输出商品供给、成长及价格相关的运营方法及路径，通过商品/价格工具的规模化覆盖，提升商家商品的运营效率，达成供给、成交及优价等业务目标；
2、深入洞察商家商品经营全链路，通过数据分析、产品内测、商家调研及共创等形式，挖掘商品/价格相关工具使用中的痛点和业务机会，提炼合理的产品需求，推动产品持续迭代；
3、紧密协同行业、策略及用户产品等团队，支持好分行业差异化的商品运营诉求，推动用户场域及策略相关运营规则的合理迭代，做好商家宣导及商家案例打造等，为产品的用户认知度、渗透率、活跃度、业务目标负责。","1、本科以上学历，5年以上产品运营、商品供给等相关运营经验；熟悉商家端的产品及运营链路，在商家流量运营、商品及价格等方向有实际经验者优先；
2、逻辑清晰，有较强的数据分析、目标理解及策略拆解能力，善于通过数据及商家调研等，识别业务问题及机会，并高效推动产品和协同团队解决；
3、良好理解能力和沟通表达能力，执行力强，自我驱动，有较强的项目管理、资源协调能力，能高效协同内外部，积极推进目标达成。"
[达人橱窗产品经理-抖音电商],上海,产品,A55311,"1、负责达人橱窗产品交易导购功能设计与体验优化，包括关键链路与核心场景的使用，提升产品易用性；
2、深入理解、洞察用户，持续挖掘用户在抖音跟达人购物的需求，制定产品方案，提升用户体验；
3、结合达人在抖音电商经营的现状和需求，洞察产品机会点并提供可落地的解决方案，优化经营动线；
4、推动研发、视觉、交互、运营等团队落地项目，并数据验证产品有效性，持续迭代。","1、具备用户产品经验，熟悉和热爱互联网产品，有店铺/粉丝经营等产品经营者优先；
2、有良好的用户视角和产品设计能力，能够深刻理解用户需求；
3、数据敏感，有良好的数据分析和判断力，通过数据发现产品问题，并独立产品和落地方案；
4、跨团队协作能力强，具备优秀的沟通表达能力、良好的人际关系处理能力。"
[AML多模态算法工程师-Data],北京,研发 - 算法,A194249,"1、参与研发前沿算法、端云协同等下一代人工智能技术；
2、关注和推进技术在业务场景中的广泛应用，包括但不限于搜索、推荐、广告、审核、联邦学习等；
3、深入调研和关注多模态/NLP/CV等方向的前沿技术。","1、有自然语言处理、计算机视觉、视频理解、推荐系统、广告系统、联邦学习或者参与过大型在线机器学习统平台等研究或者技术背景同学优先；
2、有预训练基础技术，包括高效训练和封装部署服务化，NLP、CV、视频等相关的预训练模型及其下游应用优先；
3、熟练掌握pytorch、tensorflow等深度学习框架，python或者java等编程语言；
4、有领域顶级会议文章(NeurIPS、ICML、ICLR、CVPR、ICCV、ACL、KDD等)、相关实习经验或者ACM竞赛获奖者优先。"
[机器学习高级算法工程师-隐私安全方向],深圳,研发 - 算法,A182784B,"1、分析和理解大规模结构化和非结构化数据， 利用机器学习、NLP、大模型、图算法和迁移学习等，开发高性能分类器、预测模型和算法， 构建隐私场景知识图谱；
2、在隐私和安全领域开发相关算法应用，包括但不限于多层标签、异常检测和合规自动化；
3、针对复杂业务场景，协同多个关联部门，完成业务需求所需的AI算法模型或数据挖掘方案的开发交付和验证，达成预定的业务指标；
4、探索和应用前沿的机器学习、NLP、大模型技术，并将其应用于隐私安全的场景。","1、计算机、数学、物理、统计学硕士研究生及以上相关专业学历，5年以上相关领域从业经验；
2、具备机器学习相关算法的扎实基础，包括但不限于NLP、深度学习、图模型、大模型等特定领域的全面学习和实践经验；
3、具备对业务数据建模的能力，精通相关实验和原型验证所需的技术栈、特征挖掘、AI算法模型、数理统计算法等相关技术领域；
4、具备实际操作能力，熟练掌握至少一种框架，如TensorFlow或PyTorch，包括其训练和部署的具体细节。熟悉常用的机器学习和深度学习算法，以及基本的网络模型结构和文本表示方法；
5、出色的编码技能，熟练掌握至少一种编程语言，如Python、Go或C++，并具备算法和数据结构的扎实基础；
6、具备优秀的团队协作和沟通技巧。"
[多模态算法工程师-豆包大模型],深圳,研发,A37786,"字节跳动豆包大模型团队成立于 2023 年，致力于开发业界最先进的 AI 大模型技术，成为世界一流的研究团队，为科技和社会发展作出贡献。
豆包大模型团队在AI领域拥有长期愿景与决心，研究方向涵盖NLP、CV、语音等，在中国、新加坡、美国等地设有实验室和研究岗位。团队依托平台充足的数据、计算等资源，在相关领域持续投入，已推出自研通用大模型，提供多模态能力，下游支持豆包、扣子、即梦等50+业务，并通过火山引擎开放给企业客户。目前，豆包APP已成为中国市场用户量最大的AIGC应用。

1、参与研发多模态模型等下一代人工智能核心技术；
2、关注和推进技术在业务场景中的广泛应用，包括但不限于语言、音乐、语音、音频的生成与理解等；
3、深入调研和关注音频/NLP/多模态等方向的前沿技术。","1、硕士及以上学历，计算机科学/计算机工程/电子信息技术等相关专业；
2、有自然语言处理、语音合成与识别、音乐生成等研究或者技术背景优先；
3、有预训练技术，包括但不限于高效训练、强化学习，参与过研发音频、NLP相关的预训练模型及其下游应用者优先；
4、熟练掌握Pytorch等深度学习框架，Python编程语言；
5、发表过领域顶级会议文章(NeurIPS、ICML、ICLR、ACL、Interspeech、ICASSP等)、相关实习经验或者ACM竞赛获奖者优先。"
[语音研发工程师（服务架构方向）-Data语音],深圳,研发 - 后端,A80406,"1、负责AI 语音产品落地应用的服务架构研发，快速搭建 AI 语音相关平台应用、后端服务链路，持续优化产品体验、稳定性；
2、将基于前沿深度学习、大模型相关的语音和对话技术框架落地应用到实际业务中；
3、持续探索在各种场景下，利用AI 语音能力增强产品体验，提升工程效率；
4、为字节跳动相关产品提供 AI 语音、对话技术服务，用 AI 技术影响数亿用户。","1、拥有计算机及相关专业本科以上学历，两年以上 C++/Go/Python 项目开发经验；
2、精通数据结构和算法设计，熟悉系统性能调优的方式，熟悉 Linux 开发环境；
3、具备分布式在线系统相关项目经验者优先；
4、在 ACM/NOI/IOI/TopCoder 获奖者优先；
5、有AI工程落地、ToB项目交付经验者优先。"
[网络（资深）研发/技术专家],北京,研发,A86846,"1、负责字节跳动、火山引擎各类DNS解析、流量调度系列产品的设计、开发和优化工作；
2、负责字节跳动、火山引擎公网、私网、多云、混合云场景下权威、私网、递归、安全DNS等产品开发；
3、负责高并发、大流量场景下的流量均衡、故障容灾、性能优先、容量调度等各类调度系统开发；
4、负责解析、调度类网络产品的商业化（TOB）产品形态设计，技术架构演进、平台建设和日常运营；
5、负载各种云网络环境下的解析、调度问题分析排查以及内外部的客户拓展和支持工作。","1、本科及以上学历，计算机、通信或相关专业；计算机网络、云计算等相关行业5年以上经验；
2、扎实的编程能力，良好的操作系统、数据结构和算法基础，精通计算机网络；
3、熟悉云网络，多云混合云、边缘计算/CDN、DNS解析、流量调度，加速类产品等优先；
4、具备流量解析、调度、协议优化、高性能网络服务等工作经验者优先; 
5、热爱研发工作，有较强的好奇心、自驱力并持续学习，乐于在云行业深耕，关注行业和技术动态。"
[UE4高级客户端开发工程师-绿洲-晶核],北京,研发 - 前端,A139616,"1、参与主机版本的开发和制作，持续完善及优化开发工作流；
2、与策划、美术、服务器开发人员保持良好沟通，协助建立高效的游戏内容制作流程以及标准，持续完善并优化工具链；
3、参与客户端底层框架的移植和开发，保证代码质量与运行效率，持续优化代码性能；
4、参与客户端主机团队搭建，参与新人培养，给予其他组员技术指导。","1、大学本科及以上学历，计算机专业或数学专业优先；
2、5年以上游戏客户端开发经验，3年以上UE4开发经验，有主机项目完整上线经验优先；
3、精通C++，具备良好的编程习惯；
4、熟悉主机开发流程，能够解决主机开发相关各类问题；
5、对图形渲染和主机底层架构有一定了解，能够解决主机平台渲染相关的问题及性能优化；
6、有强烈的责任心和求知欲，对游戏开发充满热情，具备较强的分析和解决问题能力；
7、保持良好沟通，善于团队合作，有新人培养经验优先。"
[高级大模型算法工程师-抖音直播],深圳,研发,A119382,"1、负责抖音直播及相关产品的大模型算法研发，如模型微调、prompt工程、RAG等相关工作；
2、负责关键场景大模型算法优化，提升业务效果，构建高质量的垂类大模型；
3、推动业务相关大模型应用工具平台的建设，提升业务应用大模型的效率。","1、计算机、人工智能、模式识别等相关专业本科及以上学位； 
2、熟悉Linux系统和常用的数据结构，熟练使用Python/C++等至少一种编程语言，熟练使用TensorFlow/PyTorch等至少一种深度学习框架；
3、具有3年以上NLP研究或项目经验，熟悉Attention、Transformer、BERT、GPT等常用模型结构，熟悉LLaMA、ChatGLM等开源大模型原理与实现；
4、在角色对话生成、大模型训练、Agent、RLHF等方面有积累者优先考虑； 
5、优秀的分析和解决问题的能力，对解决具有挑战性的问题充满激情，良好的沟通和团队合作能力。"
[量化压缩算法工程师/专家-豆包大模型],北京,研发 - 算法,A57898,"字节跳动豆包大模型团队成立于 2023 年，致力于开发业界最先进的 AI 大模型技术，成为世界一流的研究团队，为科技和社会发展作出贡献。
豆包大模型团队在AI领域拥有长期愿景与决心，研究方向涵盖NLP、CV、语音等，在中国、新加坡、美国等地设有实验室和研究岗位。团队依托平台充足的数据、计算等资源，在相关领域持续投入，已推出自研通用大模型，提供多模态能力，下游支持豆包、扣子、即梦等50+业务，并通过火山引擎开放给企业客户。目前，豆包APP已成为中国市场用户量最大的AIGC应用。

负责公司内部各场景模型的训练优化研发和应用，如量化压缩和优化器调研等方向，研究相关技术在NLP、多模态、广告、推荐、搜索等场景相关模型上的应用。

1、参与NLP/多模态/搜广推ranking模型的推理加速方案研究；
2、通过分析业务性能瓶颈和模型特点，从算法角度出发实现加速方案，如量化、压缩、优化器优化等；
3、针对公司内部大模型，针对性的设计推理加速方案，助力大模型的落地上线。","1、在量化压缩或优化器调研领域，主导过大的项目或论文；
2、熟悉主流的模型加速手段、熟悉量化压缩相关的算法原理和实现方式，了解硬件的支持方案；或有不错的优化器研究经验，能力二选一即可；
3、优秀的代码能力、数据结构和基础算法功底，熟练C/C++或Python，ACM/ICPC、NOI/IOI、Top Coder、Kaggle等比赛获奖者优先；
4、出色的问题分析和解决能力，能深入解决各模型训练和应用存在的问题；
5、良好的沟通协作能力，能和团队一起探索新技术，推进技术进步。"
[二手车车源主管-武汉],武汉,销售 - 销售,A60500,"1、了解当地二手车及4S店市场以及行情情况，开拓4S店及车商业务，建立与4S店经销商及车商的合作关系，开展车源收购或者寄售业务合作；
2、通过懂车帝资源，能够开发并培养车源经纪人，建立长期稳固的车源供应；
3、管理自营评估师团队，从线索、邀约、检测、定价、谈判、签约等环节进行管理优化，对收车结果负责；
4、开发优化车源平台渠道，比如小拧拍、汽车街等，达成稳定车源供应；
5、开发下游车商渠道，准确评估瑕疵类、事故类车源价格，及时批售不符合零售标准车源。","1、大专及以上学历，3年以上相关行业经验，有车源团队管理经验，了解二手车交易全流程业务，有二手车行业资源优先；
2、具备较强的渠道开拓能力，短期内能建立起经纪人、4s 经销商、车商、平台等车源供给渠道；
3、具备较强的检测能力，对于团队的检测能及时发现问题以及输出框架性检测理论或者 sop；
4、具备较强的车源定价能力，以及行业敏锐度；
5、为人诚信正直，有意愿在二手车行业长期发展。"
[算法工程师（商家/达人治理）-国际电商],北京,研发,A219390,"1、优化电商商品/短视频/带货直播的安全算法，解决禁限售/色情低俗/类目错放/站外引流/虚假宣传等问题；
2、结合商品/视频/直播的文本/图像/用户反馈/商达账号等多维度特征，建设并优化电商内容安全模型/策略，持续优化主动召回与处置能力，降低风险外露；
3、优化电商短视频/带货直播中的用户体验，识别与打击高危对象，减少用户负反馈，建设良好的商家商品生态；
4、挖掘和识别电商场景中的高风险商家/带货主播，并配合实际业务需求进行分层管控；
5、结合商品/直播/视频的文本/图像等特征，理解与挖掘用户反馈意图，为平台提供问题抓手。","1、计算机或相关专业，本科及以上学历；
2、具备扎实的代码功底，具备Linux环境研发能力，熟悉Python、Go或C++之一；
3、具备扎实的数据结构/算法基础，熟练掌握机器学习/深度学习理论知识，并具有丰富的实践经验；
4、熟悉机器学习、自然语言处理、计算机视觉、多模态、文本/数据挖掘中的1-2个领域；
5、优秀的分析和解决问题的能力，对挑战性问题充满激情；
6、具备良好的团队合作精神，较强的沟通能力；
7、有平台治理或内容安全经验者优先。"
[大模型算法架构师/Leader-大模型应用-飞书],深圳,研发,A165579,"团队介绍：飞书作为先进企业协作与管理平台，是字节跳动在B端与企业服务领域的重要布局之一。飞书整合即时沟通、日历、视频会议、云文档、企业邮箱、服务台功能于一体，助力团队高效协同，彻底告别零散的多套系统和割裂的协作体验。在组织管理层面，飞书还打造了飞书OKR、飞书招聘、飞书绩效等多款产品，助力组织成长。目前，飞书已成为众多先进团队的第一选择，服务了小米、“蔚小理”、华润、元气森林、三一重工等企业。

1、带领团队一起开发AI驱动的下一代企业应用引擎；
2、跟进前沿趋势，能清晰规划LLM应用方向的技术路线和团队布局；
3、统筹算法团队的研发迭代工作，并能带领团队拿到结果；
4、参与解决方案的制定，推动产品落地和PMF。","1、本科及以上学历，计算机、软件相关专业；
2、精通深度学习的实践方法，有把深度学习模型应用到大型产品和服务中去的丰富经验；熟悉Bert、GPT3等预训练模型，对相关任务技术有深入理解（如模型训练、prompt设计、 instruct微调、模型工程化等）；
3、熟悉LLM增强技术(SFT/向量召回/RLHF/Prompts等)，有实践经验者优先；能阅读前沿论文，能预判1~3年的技术方向，并提炼和转化为团队的技术项目；
4、扎实的编程技术，熟悉 python/C++/Golang等编程语言；
5、良好的团队沟通和协作能力，有责任心，能组织团队攻坚开发。"
[推荐算法工程师-国际电商],珠海,研发,A197192,"1、支持国际化电商业务快速发展，服务数百万达人商家，探索更高效的商业模式，满足用户最好的购物体验，促进生态良性发展；
2、超大规模的推荐模型优化，利用深度学习、迁移学习、多任务学习、表征学习、强化学习等多种方法提升信息匹配的效率；
3、通过挖掘达人/商家在用户群长短期兴趣建模和特征交互方式上持续研究探索，不断提高达人-商家-用户兴趣的匹配精度；
4、对达人、商家的行为做深入的理解和分析，制定针对的算法策略赋能供需两端，提升商家变现效率，助推产业升级；
5、结合内容电商的业务特性，进行模型和算法创新，打造业界领先的推荐算法和系统。","1、扎实的算法和数据结构基础，优秀的问题理解能力和编码能力；
2、机器学习基础理论扎实，熟悉常用的算法模型（如CF、FM、Word2vec、LR、GBDT、DNN），对模型调优有一定实践经验；
3、对推荐系统召回/排序/多样性/冷启动中一个或多个方向有过深入的实践，了解业界经典的模型和方法；
4、熟悉至少一门编程语言（C/C++/Java/go/python），熟悉至少一种大数据计算工具（hive sql/spark/mapreduce），熟悉至少一种神经网络框架（Tensorflow、Pytorch），熟悉Linux开发环境，具备一定的工程能力；
5、善于沟通，乐观自信，良好的团队合作精神；对新技术充满好奇，能够持续学习，乐于实践，无惧试错。

加分项 ：
1、有个性化推荐、广告、搜索等相关领域的项目经验；
2、能运用英语进行工作沟通先；
3、有数据挖掘/机器学习或ACM-ICPC/NOI/IOI相关的竞赛经历并取得优秀成绩。"
